Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Rickie Fowler,76.0,62.08,2015,296.8,65.81,28.44,61.1,70.23,"1,498",1.0,5.0,0.309,1.088,0.123,0.59,0.066,"$5,773,430"
Justin Rose,69.0,63.87,2015,303.5,70.54,29.17,59.14,69.744,"1,742",1.0,7.0,0.023,1.493,0.55,0.692,0.228,"$5,462,677"
Jim Furyk,84.0,73.18,2014,279.3,68.75,28.96,69.33,69.2,"1,851",,8.0,0.091,1.796,0.121,1.175,0.408,"$5,987,395"
Rory McIlroy,66.0,59.93,2014,310.5,69.44,28.59,58.52,68.827,"2,582",3.0,9.0,0.274,2.266,1.367,0.602,0.022,"$8,280,096"
Bubba Watson,76.0,60.47,2014,314.3,67.96,28.99,59.14,69.712,"2,173",2.0,7.0,-0.05,1.352,0.967,0.324,0.111,"$6,336,978"
Adam Scott,68.0,61.51,2014,303.5,68.79,28.76,60.73,69.205,"1,479",1.0,8.0,0.22,1.72,0.725,0.61,0.166,"$4,098,588"
Sergio Garcia,61.0,62.19,2014,294.3,68.68,28.59,66.67,68.95,"1,700",,8.0,0.167,1.984,0.382,1.15,0.286,"$4,939,606"
Jimmy Walker,98.0,51.67,2014,301.0,67.59,28.73,58.39,69.789,"2,493",3.0,9.0,0.479,1.253,0.119,0.608,0.048,"$5,787,016"
Jordan Spieth,102.0,58.79,2014,289.7,62.47,27.86,62.39,69.946,"1,692",,7.0,0.399,0.98,0.034,0.286,0.26,"$4,342,748"
Zach Johnson,97.0,70.51,2014,282.2,67.42,28.9,60.75,70.159,"1,552",1.0,5.0,0.106,0.857,0.145,0.513,0.093,"$3,353,417"
Matt Kuchar,91.0,67.37,2014,283.8,66.92,28.74,62.4,69.416,"1,921",1.0,10.0,0.457,1.573,0.21,0.527,0.38,"$4,695,515"
Tiger Woods,61.0,62.5,2013,293.2,67.59,28.85,60.0,68.944,"3,059",5.0,7.0,0.426,2.064,-0.142,1.533,0.247,"$8,553,439"
Henrik Stenson,65.0,70.09,2013,290.9,71.96,29.91,57.28,69.248,"1,426",,6.0,0.004,1.618,0.71,0.776,0.128,"$6,388,230"
Jordan Spieth,82.0,67.8,2013,289.4,66.94,28.68,61.07,69.668,"1,436",1.0,7.0,0.182,1.473,0.611,0.48,0.2,"$3,879,820"
Brandt Snedeker,79.0,62.57,2013,281.3,65.68,28.38,60.86,69.791,"2,218",2.0,8.0,0.692,1.141,-0.025,0.121,0.354,"$5,318,087"
Matt Kuchar,93.0,58.93,2013,284.9,65.84,28.64,63.55,69.561,"2,293",2.0,7.0,0.398,1.398,-0.01,0.731,0.278,"$5,616,808"
Steve Stricker,51.0,70.65,2013,283.6,71.16,28.68,65.57,68.893,"1,117",,5.0,0.72,2.193,0.311,0.567,0.596,"$4,440,532"
Phil Mickelson,78.0,57.3,2013,287.9,66.67,28.56,58.55,69.742,"2,166",2.0,6.0,0.661,1.436,0.021,0.494,0.26,"$5,495,793"
Zach Johnson,84.0,69.68,2013,278.8,68.14,29.35,59.66,70.073,"1,141",,6.0,0.365,0.844,0.181,0.251,0.047,"$4,044,509"
Justin Rose,62.0,63.57,2013,296.6,68.89,29.3,60.71,69.225,"1,447",1.0,5.0,-0.188,1.723,0.459,0.961,0.491,"$4,146,148"
Jim Furyk,80.0,70.47,2013,275.3,68.3,29.31,59.55,69.828,"1,057",,5.0,0.092,1.389,0.023,0.95,0.323,"$3,204,779"
Tiger Woods,69.0,63.93,2012,297.4,67.58,28.91,63.17,68.904,"2,269",3.0,6.0,0.339,2.31,0.553,1.224,0.194,"$6,133,158"
Rory McIlroy,60.0,56.61,2012,310.1,66.36,28.72,60.24,68.873,"2,092",2.0,7.0,0.058,2.406,1.072,1.002,0.273,"$8,047,952"
Bubba Watson,68.0,58.84,2012,315.5,69.95,29.73,56.58,69.639,"1,777",1.0,5.0,-0.28,1.529,1.485,0.265,0.059,"$4,644,997"
Jason Dufner,83.0,66.9,2012,292.4,69.17,29.07,62.42,69.456,"2,110",2.0,8.0,0.153,1.446,0.553,0.519,0.222,"$4,869,304"
Matt Kuchar,86.0,65.06,2012,286.2,65.38,28.51,62.43,69.477,"1,600",1.0,8.0,0.472,1.382,0.11,0.49,0.309,"$3,903,065"
Brandt Snedeker,81.0,60.5,2012,288.7,63.75,27.92,62.08,69.84,"1,194",1.0,4.0,0.86,1.01,-0.276,0.11,0.316,"$4,989,739"
Steve Stricker,73.0,63.31,2012,285.4,68.33,29.06,60.15,69.865,"1,456",1.0,7.0,0.134,1.295,0.116,0.898,0.147,"$3,420,021"
Luke Donald,63.0,65.16,2012,280.1,64.96,28.63,62.66,69.687,"1,294",1.0,6.0,0.818,1.641,-0.188,0.582,0.43,"$3,512,024"
Justin Rose,69.0,65.82,2012,290.9,70.34,29.41,61.98,69.549,"1,426",1.0,7.0,-0.122,1.64,0.355,0.84,0.567,"$4,290,930"
Bo Van Pelt,84.0,64.79,2012,296.1,67.07,28.81,55.69,69.718,"1,175",,8.0,0.542,1.437,0.45,0.665,-0.22,"$3,043,509"
Phil Mickelson,79.0,54.31,2012,294.4,64.14,28.49,61.57,70.03,"1,373",1.0,5.0,0.562,1.422,-0.103,0.566,0.398,"$4,203,821"
Tiger Woods,61.0,62.5,2011,293.2,67.59,28.85,60.0,68.944,"3,059",5.0,7.0,0.426,2.064,-0.142,1.533,0.247,"$8,553,439"
Luke Donald,73.0,64.29,2011,284.1,67.33,28.03,63.71,68.861,"1,856",1.0,10.0,0.87,2.278,0.04,1.094,0.273,"$6,683,214"
Webb Simpson,98.0,61.93,2011,296.2,69.84,28.77,62.22,69.252,"1,861",1.0,7.0,0.271,1.764,0.476,0.755,0.261,"$6,347,353"
Steve Stricker,70.0,62.47,2011,288.8,66.02,27.96,64.93,69.362,"1,865",2.0,5.0,0.78,1.73,0.047,0.538,0.364,"$3,992,785"
Matt Kuchar,94.0,64.75,2011,286.2,66.98,28.52,62.91,69.515,"1,407",,8.0,0.379,1.54,0.304,0.698,0.158,"$4,233,920"
Nick Watney,80.0,58.15,2011,301.9,66.88,28.44,62.96,69.518,"1,906",2.0,8.0,0.546,1.712,0.543,0.604,0.018,"$5,290,673"
K.J. Choi,77.0,61.99,2011,285.6,65.93,29.17,60.87,69.993,"1,601",1.0,6.0,0.163,1.079,-0.07,0.689,0.296,"$4,434,691"
Bubba Watson,85.0,56.92,2011,314.9,69.83,29.86,50.82,70.625,"1,577",2.0,3.0,-0.182,0.593,0.898,0.193,-0.317,"$3,477,811"
Brandt Snedeker,85.0,64.02,2011,287.2,64.9,28.51,61.45,69.859,"1,227",1.0,5.0,0.588,1.094,0.127,0.191,0.189,"$3,587,206"
Jason Day,76.0,54.7,2011,302.6,64.92,28.37,64.64,69.706,"1,308",,8.0,0.576,0.976,0.204,0.026,0.169,"$3,962,647"
Phil Mickelson,79.0,53.2,2011,299.8,66.96,29.08,62.01,69.891,"1,601",1.0,5.0,-0.19,1.182,0.14,0.9,0.333,"$3,763,488"
Jim Furyk,87.0,68.0,2011,281.4,67.57,29.45,58.37,70.37,661,,3.0,-0.16,0.655,-0.017,0.643,0.19,"$1,529,690"
Zach Johnson,79.0,71.06,2011,278.2,66.38,28.71,63.98,69.966,962,,4.0,0.58,1.033,0.012,0.349,0.092,"$1,880,406"
Jim Furyk,85.0,70.71,2012,280.0,68.19,29.05,63.83,69.304,"1,284",,5.0,0.423,1.752,0.225,0.83,0.275,"$3,623,805"
Zach Johnson,95.0,68.53,2012,281.1,64.95,28.45,60.37,69.821,"2,019",2.0,6.0,0.568,1.197,0.112,0.342,0.176,"$4,504,244"
Hunter Mahan,88.0,67.74,2012,293.1,68.97,29.9,53.71,70.346,"1,739",2.0,4.0,-0.109,0.541,0.4,0.372,-0.122,"$4,019,193"
Ryan Moore,89.0,65.75,2012,287.6,66.35,28.87,56.77,70.3,635,,4.0,0.424,0.847,0.163,0.27,-0.009,"$2,858,944"
John Huh,99.0,68.69,2012,288.3,66.44,29.15,55.52,70.384,"1,123",1.0,4.0,0.167,0.564,0.391,0.031,-0.025,"$2,692,113"
Jim Furyk,76.0,71.01,2010,276.0,67.12,28.74,63.47,69.828,"1,691",2.0,6.0,0.402,1.564,0.15,0.641,0.367,"$4,809,622"
Steve Stricker,73.0,68.5,2010,282.9,68.29,28.69,63.75,69.66,"1,697",2.0,6.0,0.437,1.818,0.191,0.773,0.419,"$4,190,235"
Matt Kuchar,97.0,67.89,2010,286.9,69.36,28.74,64.69,69.606,"1,437",,9.0,0.648,1.461,0.158,0.336,0.334,"$4,910,477"
Ernie Els,72.0,60.16,2010,288.4,67.86,28.99,61.23,69.843,"1,846",2.0,6.0,0.33,1.322,0.215,0.735,0.043,"$4,558,861"
Retief Goosen,75.0,64.79,2010,291.4,65.96,28.65,63.91,69.718,"1,068",,8.0,0.679,1.598,0.337,0.185,0.395,"$3,218,089"
Paul Casey,64.0,61.31,2010,294.2,68.68,29.07,60.86,69.72,992,,5.0,0.812,1.411,0.215,0.483,-0.111,"$3,613,194"
Justin Rose,78.0,65.17,2010,287.8,66.31,28.64,63.85,69.885,"1,593",2.0,4.0,0.243,1.195,0.338,0.168,0.447,"$3,603,331"
Ryan Moore,80.0,67.99,2010,289.7,66.67,29.05,60.76,70.623,893,,4.0,0.299,0.687,0.45,0.026,-0.091,"$2,374,823"
Hunter Mahan,85.0,67.94,2010,291.8,68.65,29.6,58.65,70.476,"1,528",2.0,3.0,0.068,0.665,0.642,0.069,-0.115,"$3,574,550"
Zach Johnson,93.0,71.24,2010,279.7,66.54,28.73,57.66,70.527,"1,191",1.0,2.0,0.583,0.792,0.118,0.221,-0.129,"$2,916,993"
Dustin Johnson,83.0,56.35,2010,308.5,67.95,29.37,55.81,70.135,"1,362",1.0,5.0,0.112,0.979,0.76,0.288,-0.179,"$4,473,122"
